customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0022,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,45.36,678.5,No
CUST0023,Female,1,No,No,69,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),98.2,6769.17,Yes
CUST0024,Female,0,No,Yes,72,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),36.81,2645.63,Yes
CUST0025,Female,0,No,Yes,36,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),54.77,1969.9,No
CUST0026,Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,28.59,1478.71,No
CUST0027,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),49.58,748.84,No
CUST0028,Female,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,One year,No,Electronic check,51.82,883.12,Yes
CUST0029,Female,0,No,Yes,18,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,86.87,1572.12,Yes
CUST0030,Male,0,Yes,No,43,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),91.53,3926.41,Yes
CUST0031,Male,0,Yes,No,1,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),78.8,81.81,Yes
CUST0032,Female,0,No,No,57,Yes,No phone service,DSL,No,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),97.01,5535.27,No
CUST0033,Female,0,Yes,No,9,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),65.16,586.65,Yes
CUST0034,Female,0,No,No,45,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,82.79,3734.87,No
CUST0035,Male,0,Yes,No,18,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,No,Electronic check,55.93,997.51,Yes
CUST0036,Female,1,No,Yes,37,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Mailed check,72.13,2669.3,No
CUST0037,Male,0,Yes,No,36,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),34.11,1224.22,Yes
CUST0038,Male,1,No,No,44,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Bank transfer (automatic),81.1,3577.87,No
CUST0039,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,40.49,1345.31,Yes
CUST0040,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,66.09,58.03,No
CUST0041,Male,0,No,No,43,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),86.55,3719.51,No
CUST0042,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),62.78,1626.69,No
CUST0043,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Two year,Yes,Mailed check,42.32,1995.64,Yes
CUST0044,Female,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),86.62,527.96,No
CUST0045,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.25,2744.21,No
CUST0046,Female,1,Yes,No,70,Yes,No,No,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),70.04,4899.94,No
CUST0047,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),75.76,1283.96,No
CUST0048,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,59.09,1894.41,No
CUST0049,Female,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,78.32,2514.86,No
CUST0050,Male,0,No,No,24,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),69.53,1659.95,No
CUST0051,Female,0,No,Yes,13,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,94.66,1221.73,Yes
CUST0052,Male,0,No,No,37,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),44.03,1627.18,No
CUST0053,Female,1,Yes,No,37,Yes,No phone service,No,No internet service,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,68.62,2537.31,Yes
CUST0054,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),51.62,154.72,No
CUST0055,Female,0,Yes,No,61,Yes,No phone service,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),29.44,1795.83,Yes
CUST0056,Female,0,No,Yes,9,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,58.65,527.13,No
CUST0057,Male,0,Yes,No,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,115.32,3926.53,No
CUST0058,Male,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,66.05,1458.4,No
CUST0059,Male,0,No,Yes,64,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),74.56,4776.85,No
CUST0060,Male,0,Yes,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),94.22,2257.81,Yes
CUST0061,Male,0,Yes,No,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),118.48,6151.33,No
CUST0062,Male,0,No,Yes,16,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),61.18,985.33,Yes
CUST0063,Male,0,No,Yes,56,No,Yes,DSL,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),71.77,4027.66,No
CUST0064,Male,0,No,Yes,19,Yes,No phone service,DSL,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),116.85,2221.63,No
CUST0065,Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,62.88,1501.53,No
CUST0066,Female,0,No,No,41,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),99.03,4053.39,No
CUST0067,Male,1,No,Yes,44,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,64.38,2839.86,No
CUST0068,Female,1,No,Yes,30,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card (automatic),42.76,1286.06,Yes
CUST0069,Female,0,No,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),113.63,7267.24,Yes
CUST0070,Female,0,No,No,51,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,No,Electronic check,91.21,4645.44,No
CUST0071,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),106.35,2122.84,Yes
CUST0072,Male,0,No,Yes,29,Yes,No,No,No,No,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),31.61,912.85,No
CUST0073,Female,1,No,Yes,2,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.49,187.33,No
CUST0074,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,84.04,5806.7,No
CUST0075,Female,1,No,No,42,Yes,No,No,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),68.4,2867.83,No
CUST0076,Female,1,Yes,Yes,28,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),34.21,951.72,No
CUST0077,Female,0,Yes,No,2,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.48,124.02,No
CUST0078,Male,0,No,No,57,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,Yes,Two year,No,Electronic check,81.77,4662.24,Yes
CUST0079,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,One year,Yes,Credit card (automatic),87.75,2802.54,No
CUST0080,Male,1,No,No,44,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),31.7,1401.16,No
CUST0081,Female,0,No,Yes,68,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),64.38,4386.24,No
CUST0082,Male,1,Yes,Yes,31,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Credit card (automatic),62.55,1930.68,No
CUST0083,Female,0,Yes,Yes,51,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),98.62,5034.81,No
CUST0084,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),24.12,1519.59,No
CUST0085,Male,1,No,Yes,39,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Two year,No,Mailed check,98.55,3837.36,No
CUST0086,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,No,Electronic check,98.35,1178.78,Yes
CUST0087,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,89.71,2512.0,Yes
CUST0088,Female,0,No,Yes,62,Yes,Yes,No,No internet service,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,109.98,6820.48,No
CUST0089,Female,0,No,No,25,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Two year,No,Credit card (automatic),66.52,1653.68,Yes
CUST0090,Female,0,Yes,Yes,58,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),29.61,1721.31,Yes
CUST0091,Female,0,Yes,No,48,Yes,No phone service,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),53.15,2551.37,No
CUST0092,Female,1,Yes,No,52,Yes,Yes,No,No,Yes,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,81.12,4221.04,No
CUST0093,Female,1,Yes,Yes,30,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),52.29,1575.7,No
CUST0094,Female,0,Yes,No,11,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.29,917.5,Yes
CUST0095,Female,0,Yes,No,57,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),24.36,1396.43,Yes
CUST0096,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,No,Bank transfer (automatic),27.03,951.91,No
CUST0097,Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,21.05,192.04,No
CUST0098,Female,1,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),117.6,589.63,No
CUST0099,Male,0,Yes,No,6,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,One year,No,Credit card (automatic),46.16,275.6,No
CUST0100,Male,0,No,No,30,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),99.56,2994.39,No
CUST0101,Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,108.68,7714.55,No
CUST0102,Female,0,Yes,No,2,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),35.76,61.94,Yes
CUST0103,Female,0,No,No,46,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),39.91,1826.54,Yes
CUST0104,Female,0,No,No,0,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,58.24,8.51,No
CUST0105,Female,0,No,No,44,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Two year,No,Mailed check,70.41,3090.42,Yes
CUST0106,Female,0,No,No,53,Yes,No,No,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),73.47,3899.65,No
CUST0107,Female,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),58.57,2876.93,Yes
CUST0108,Female,0,No,No,6,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),78.62,472.75,No
CUST0109,Male,0,Yes,No,62,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),93.61,5810.62,No
CUST0110,Female,0,Yes,No,14,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),90.01,1252.27,No
CUST0111,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),23.02,1529.3,Yes
CUST0112,Female,0,No,No,29,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No,Two year,No,Mailed check,79.33,2302.51,No
CUST0113,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,91.26,6121.48,Yes
CUST0114,Male,0,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No internet service,No internet service,One year,No,Electronic check,40.07,1397.91,No
CUST0115,Female,1,No,Yes,66,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),80.36,5299.99,No
CUST0116,Male,1,No,Yes,4,No,No phone service,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),31.08,117.39,No
CUST0117,Female,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,86.49,2080.09,No
CUST0118,Female,1,No,No,10,Yes,No phone service,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),82.04,810.87,No
CUST0119,Male,0,Yes,No,71,Yes,Yes,No,Yes,No,No internet service,Yes,No,Yes,One year,No,Bank transfer (automatic),44.1,3123.26,Yes
CUST0120,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),107.53,6982.91,No
CUST0121,Male,0,No,Yes,27,Yes,No,DSL,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.66,2721.64,Yes
CUST0122,Female,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,93.9,5543.19,Yes
CUST0123,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),65.96,596.07,No
CUST0124,Male,0,No,No,49,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),42.69,2090.06,No
CUST0125,Female,0,No,No,38,Yes,No phone service,No,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.22,3741.05,Yes
CUST0126,Female,0,No,Yes,36,No,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.45,1501.46,No
CUST0127,Male,0,No,No,62,Yes,No phone service,DSL,No internet service,Yes,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),68.69,4256.17,Yes
CUST0128,Female,1,No,Yes,60,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),57.87,3472.72,No
CUST0129,Female,0,No,Yes,37,Yes,No phone service,No,No,No internet service,Yes,Yes,No,No internet service,One year,No,Mailed check,40.2,1491.29,No
CUST0130,Female,0,No,Yes,32,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),81.46,2602.08,No
CUST0131,Male,0,No,Yes,44,Yes,No,No,No internet service,No,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,118.21,5206.5,No
CUST0132,Male,0,Yes,No,43,Yes,No,No,No internet service,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,67.63,2913.48,No
CUST0133,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Yes,One year,Yes,Mailed check,69.95,0.02,No
CUST0134,Male,0,Yes,Yes,52,Yes,No,No,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,57.27,2976.35,No
CUST0135,Male,0,Yes,Yes,46,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,42.83,1973.0,No
CUST0136,Male,0,No,No,32,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,48.26,1534.65,No
CUST0137,Male,0,Yes,No,66,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),107.58,7107.4,Yes
CUST0138,Male,0,No,Yes,14,No,No phone service,DSL,Yes,Yes,No,No internet service,No internet service,No,One year,No,Mailed check,114.81,1614.63,No
CUST0139,Male,0,No,Yes,13,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Credit card (automatic),102.62,1334.16,No
CUST0140,Female,0,No,Yes,22,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Two year,No,Credit card (automatic),22.64,488.41,No
CUST0141,Male,0,No,Yes,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,80.78,4278.77,No
CUST0142,Female,0,Yes,Yes,7,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),74.93,523.61,No
CUST0143,Female,1,Yes,No,53,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,97.48,5173.25,Yes
CUST0144,Female,1,No,No,35,No,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.06,3422.79,No
CUST0145,Male,1,Yes,Yes,51,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),63.81,3254.47,No
CUST0146,Male,0,Yes,Yes,5,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),48.75,242.94,No
CUST0147,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),29.73,797.14,No
CUST0148,Male,0,No,Yes,49,Yes,No,No,No internet service,Yes,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),81.13,3970.24,No
CUST0149,Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,47.36,1753.94,No
CUST0150,Male,0,Yes,No,29,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),116.46,3386.71,No
CUST0151,Male,0,Yes,Yes,72,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),24.67,1782.1,No
CUST0152,Male,1,No,No,53,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Credit card (automatic),116.43,6170.79,No
CUST0153,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),69.58,4872.08,No
CUST0154,Male,1,Yes,Yes,45,Yes,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.66,3631.18,No
CUST0155,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,No,Mailed check,78.35,2119.48,No
CUST0156,Male,0,Yes,Yes,16,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Mailed check,95.27,1521.07,No
CUST0157,Female,0,No,No,47,Yes,No,No,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,29.09,1370.75,No
CUST0158,Male,0,No,Yes,43,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),108.79,4673.06,No
CUST0159,Female,0,No,Yes,59,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,One year,No,Credit card (automatic),99.1,5852.96,No
CUST0160,Male,0,No,Yes,59,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Electronic check,105.02,6204.99,No
CUST0161,Male,0,No,Yes,4,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.54,275.38,No
CUST0162,Female,0,No,No,68,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,No,Two year,No,Credit card (automatic),89.78,6096.47,No
CUST0163,Female,1,Yes,Yes,69,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Mailed check,65.73,4539.61,No
CUST0164,Female,0,No,No,6,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,33.04,206.79,Yes
CUST0165,Male,1,Yes,No,52,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,No internet service,Two year,No,Electronic check,50.2,2619.28,Yes
CUST0166,Female,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),47.84,773.66,No
CUST0167,Male,0,No,No,58,No,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One year,No,Mailed check,36.6,2124.07,No
CUST0168,Male,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),44.13,361.4,Yes
CUST0169,Female,0,Yes,No,21,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,69.85,1462.21,No
